pl_name,pl_rade,pl_radj,pl_bmasse,pl_orbsmax,pl_orbper,discoverymethod,disc_year
"NY Vir c",,,1760.77820000,,8799.00000000000,"Eclipse Timing Variations",2019
"Kepler-30 c",12.30000000,1.09700000,640.00000000,0.3000000000,60.32310500000,"Transit",2012
"TOI-1246 e",3.51418750,0.31351535,14.50000000,0.2120000000,37.92548000000,"Transit",2022
"HIP 107772 b",,,12.90000000,0.2430000000,55.19900000000,"Radial Velocity",2020
"Kepler-1898 b",0.93353523,0.08328458,,,4.76562023200,"Transit",2021
"TIC 172900988 b",11.25000000,1.00365950,942.00000000,0.9028100000,200.45200000000,"Transit",2021
"Kepler-1266 b",2.58000000,0.23017218,,,28.47474800000,"Transit",2016
"Kepler-739 b",3.32000000,0.29619056,,,12.53248465000,"Transit",2016
"TOI-7149 b",13.20000000,1.18000000,224.00000000,0.0260300000,2.65206166000,"Transit",2025
"HD 97037 b",,,6707.76852973,6.9250000000,6449.08337000000,"Radial Velocity",2022
"KMT-2021-BLG-0712L b",,,38.19000000,2.2200000000,,"Microlensing",2023
"HAT-P-35 b",14.93038800,1.33200000,335.62848000,0.0497800000,3.64670600000,"Transit",2011
"TOI-2015 c",,,8.91000000,0.0412320000,5.58279600000,"Transit Timing Variations",2025
"Kepler-1266 c",1.68023962,0.14990120,,,4.86631012000,"Transit",2021
"Kepler-357 c",2.67000000,0.23800000,,0.1200000000,16.85837000000,"Transit",2014
"Kepler-174 d",2.19000000,0.19500000,,0.6770000000,247.35373000000,"Transit",2014
"Kepler-82 f",,,20.90000000,0.3395000000,75.73200000000,"Transit Timing Variations",2019
"GJ 463 b",,,524.09904314,3.5300000000,3459.00000000000,"Radial Velocity",2022
"K2-391 b",1.37100000,0.12231264,,,4.62265400000,"Transit",2022
"Kepler-198 d",1.53000000,0.13649746,,,1.31184443000,"Transit",2016
"TOI-1117 b",2.46000000,0.21946688,8.90000000,0.0330000000,2.22816000000,"Transit",2025
"HD 11506 b",,,1525.57635360,2.8850000000,1617.70000000000,"Radial Velocity",2007
"Kepler-1152 b",0.87000000,0.07761620,,,1.64680190800,"Transit",2016
"TOI-3486 b",10.57006880,0.94300000,99.16246298,0.0313800000,2.21778105000,"Transit",2025
"K2-216 b",1.75000000,0.15612454,8.00000000,0.0280000000,2.17480000000,"Transit",2018
"WASP-34 b",11.20900000,1.00000000,177.98480000,,4.31768000000,"Transit",2010
"HD 98649 b",,,3082.93554790,5.9700000000,5384.00000000000,"Radial Velocity",2012
"Kepler-967 c",3.65000000,0.32563119,,,198.71125020000,"Transit",2016
"Kepler-327 d",1.73000000,0.15400000,,0.0900000000,13.96945700000,"Transit",2014
"WASP-93 b",17.90077300,1.59700000,467.21010000,0.0421100000,2.73253210000,"Transit",2016
"Kepler-1874 b",2.21110724,0.19726211,,,56.57320023000,"Transit",2021
"TOI-2096 b",1.24300000,0.11089322,,0.0250000000,3.11906330000,"Transit",2023
"CoRoT-28 b",10.70459500,0.95500000,153.82972000,0.0603000000,5.20851000000,"Transit",2015
"K2-275 c",2.21000000,0.19716333,,0.0881000000,8.43883850000,"Transit",2018
"TOI-5789 c",2.86000000,0.25515255,5.00000000,0.1009000000,12.92774800000,"Transit",2026
"Kepler-1050 c",1.48000000,0.13203676,,,21.12845690000,"Transit",2016
"Kepler-275 b",2.34000000,0.20900000,,0.0980000000,10.30068200000,"Transit",2014
"OGLE-2014-BLG-1760L b",,,295.89824692,1.8870000000,,"Microlensing",2016
"HD 96700 b",,,8.90000000,0.0777000000,8.12450000000,"Radial Velocity",2021
"Kepler-464 b",3.30000000,0.29440628,,,7.25696522400,"Transit",2016
"Kepler-297 c",6.54000000,0.58300000,,0.3360000000,74.92013700000,"Transit",2014
"Kepler-454 b",2.37000000,0.21143760,5.40000000,0.0952800000,10.57375340000,"Transit",2015
"TOI-5027 b",10.76062147,0.96000000,642.01338214,0.0930000000,10.24368000000,"Transit",2025
"Kepler-834 b",2.02000000,0.18021233,,,13.32388301000,"Transit",2016
"K2-105 b",3.40000000,0.30332821,15.40000000,,8.26726000000,"Transit",2017
"Kepler-1228 b",1.54000000,0.13738960,,,0.57736957900,"Transit",2016
"KOI-142 b",3.43800000,0.30671782,9.50000000,,10.91647000000,"Transit",2013
"HAT-P-46 b",14.39200000,1.28400000,156.68400000,0.0577000000,4.46312900000,"Transit",2014
"Kepler-122 b",2.34000000,0.20900000,,0.0640000000,5.76619300000,"Transit",2014
"Kepler-100 d",1.61000000,0.14400000,3.00000000,,35.33310000000,"Transit",2014
"Kepler-1208 b",2.32000000,0.20697654,,,11.08507637000,"Transit",2016
"16 Cyg B b",,,565.73740000,1.6600000000,798.50000000000,"Radial Velocity",1996
"Kepler-1481 b",1.23000000,0.10973325,,,5.94220998000,"Transit",2016
"HD 175607 b",,,8.98000000,,29.01000000000,"Radial Velocity",2015
"HD 109749 b",,,85.81410000,0.0615000000,5.23989100000,"Radial Velocity",2005
